TIPO_PROD;REF;DESCRICAO_1;DESCRICAO_CURTA;VL_CUSTO_REP;PRECO_1;COD_BARRA;UND_ENTRADA;UND_SAIDA;CST;NCM;CSOSN;CFOP;ORIGEM;ATIVO;COD_BALANCA;BALANCA;QTD_FRAC;ETQ_MIN;ETQ_MAX;ATRIB_COD_GRUPO;ATRIB_COD_SUBGRUPO;ATRIB_COD_MARCA;ATRIB_COD_TIPO;ATRIB_COD_LINHA;ATRIB_COD_FAMILIA;ATRIB_COD_CATALOGO;ATRIB_COD_COLECAO;ATRIB_COD_SETOR;ATRIB_COD_FAIXAETARIA;ATRIB_COD_SABOR
0;0110000130015FD;REJUNTE QUARTZOLIT P/ PORCELANATOS - 1 KG - BEGE;REJUNTE QUARTZOLIT P/ PORCELANATOS ;1;13;;UN;UN;;32149000;102;5102;0;1;;;;;;;;;;;;;;;;
0;018559;ARGAMASSA 20 KG - COLAVIT - PORCELANATO - CINZA;ARGAMASSA 20 KG - COLAVIT - PORCELANATO;1;24;;UN;UN;;32149000;102;5102;0;1;;;;;;;;;;;;;;;;
0;23568;PORCELANATO DELTA (63X120) ONICE BIANCO POLI - A  CX C/ 2,25;PORCELANATO DELTA (63X120) ONICE;1;99.90;;M²;M²;;69072100;102;5102;0;1;;;;;;;;;;;;;;;;
0;23681;ESPAÇADOR E NIVELADOR 2 MM - DEPLASTI;ESPAÇADOR E NIVELADOR 2 MM - DEPLASTI;1;15;;UN;UN;;39259090;102;5102;0;1;;;;;;;;;;;;;;;;
0;PHD70230R;CERÂMICA INCEFRA (74X74) REF: PHD70230R - A  CX C/ 2,19 MTS;CERÂMICA INCEFRA (74X74);1;47.90;;M²;M²;;69072200;102;5102;0;1;;;;;;;;;;;;;;;;
0;0023339;PORCELANATO DELTA (63X120) PEROBA MARF ACETINADO - A CX 2,25;PORCELANATO DELTA (63X120) P;1;99.90;;M²;M²;;69072100;102;5102;0;1;;;;;;;;;;;;;;;;
0;0023348;FILTRO P/ CX. D ÁGUA - HIDROFILTROS;FILTRO P/ CX. D ÁGUA - HIDROFILTROS;1;145;;UN;UN;;84212100;102;5102;0;1;;;;;;;;;;;;;;;;
0;018557;ARGAMASSA 20 KG - COLAVIT - INTERNA - CINZA;ARGAMASSA 20 KG - COLAVIT - INTERNA - CINZA;1;12.90;;UN;UN;;38160019;102;5102;0;1;;;;;;;;;;;;;;;;
0;019659;SOLEIRA  0,82 X 0,14 - MARESO - MARMORE BRANCO;SOLEIRA  0,82 X 0,14 - MARESO - MARMORE BRANCO;1;52;;UN;UN;;68022300;102;5102;0;1;;;;;;;;;;;;;;;;
0;022553;CUNHA P/ NIVELADOR DE PISOS E PORCELANATOS - 50 PÇ - LARGA;CUNHA P/ NIVELADOR DE PISOS E PORCELAN;1;35;;UN;UN;;39259090;102;5102;0;1;;;;;;;;;;;;;;;;
0;0023347;VELA P/ FILTRO P/ CX. D ÁGUA - HIDROFILTROS;VELA P/ FILTRO P/ CX. D ÁGUA - HIDROFILTROS;1;45;;UN;UN;;84212100;102;5102;0;1;;;;;;;;;;;;;;;;
0;018556;ARGAMASSA 20 KG - COLAVIT - EXTERNA - CINZA;ARGAMASSA 20 KG - COLAVIT - EXTERNA - CINZA;1;23;;UN;UN;;32149000;102;5102;0;1;;;;;;;;;;;;;;;;
